"","Loc","Type","z"
"CME25A7851572Aligned.sortedByCoord.out.bam","P2_E15B_213_AK","Tb_CS5",1
"CME25A7851623Aligned.sortedByCoord.out.bam","P2_E15B_204_AG","Tb_CS5",1
"CME25A7851589Aligned.sortedByCoord.out.bam","P2_E15B_204_E","EmDisc_CS5",1
"CME25A7851606Aligned.sortedByCoord.out.bam","P2_E15B_204_S","ExMes_CS5",1
"CME25A7851617Aligned.sortedByCoord.out.bam","P2_E15B_213_G","VE_CS5",1
"CME25A7851558Aligned.sortedByCoord.out.bam","P2_E15B_204_M","Tb_CS5",1
"CME25A7851557Aligned.sortedByCoord.out.bam","P2_E15B_204_A","VE_CS5",1
"CME25A7851643Aligned.sortedByCoord.out.bam","P2_E15B_213_AH","Tb_CS5",1
"CME25A7851605Aligned.sortedByCoord.out.bam","P2_E15B_204_G","EmDisc_CS5",1
"CME25A7851609Aligned.sortedByCoord.out.bam","P2_E15B_213_F","VE_CS5",1
"CME25A7851561Aligned.sortedByCoord.out.bam","P2_E15B_210_A","EmDisc_CS5",1
"CME25A7851632Aligned.sortedByCoord.out.bam","P2_E15B_204_AT","ExMes_CS5",1
"CME25A7851646Aligned.sortedByCoord.out.bam","P2_E15B_204_X","EmDisc_CS5",1
"CME25A7851645Aligned.sortedByCoord.out.bam","P2_E15B_204_L","EmDisc_CS5",1
"CME25A7851581Aligned.sortedByCoord.out.bam","P2_E15B_204_D","EmDisc_CS5",1
"CME25A7851638Aligned.sortedByCoord.out.bam","P2_E15B_204_W","Am_CS5",1
"CME25A7851565Aligned.sortedByCoord.out.bam","P2_E15B_204_B","EmDisc_CS5",1
"CME25A7851620Aligned.sortedByCoord.out.bam","P2_E15B_213_AQ","Tb_CS5",1
"CME25A7851564Aligned.sortedByCoord.out.bam","P2_E15B_213_AJ","Tb_CS5",1
"CME25A7851636Aligned.sortedByCoord.out.bam","P2_E15B_213_AS","Tb_CS5",1
"CME25A7851570Aligned.sortedByCoord.out.bam","P2_E15B_213_M","VE_CS5",1
"ERR2851738Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C1","cMor_CS2",1
"ERR2851739Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C2","cMor_CS2",1
"ERR2851740Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C4","cMor_CS2",1
"ERR2851741Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C5","cMor_CS2",1
"ERR2851742Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C6","cMor_CS2",1
"ERR2851743Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C7","cMor_CS2",1
"ERR2851744Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C8","cMor_CS2",1
"ERR2851745Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C9","cMor_CS2",1
"ERR2851746Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C10","cMor_CS2",1
"ERR2851747Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C11","cMor_CS2",1
"ERR2851748Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C12","cMor_CS2",1
"ERR2851749Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C13","cMor_CS2",1
"ERR2851750Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C14","cMor_CS2",1
"ERR2851751Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C15","cMor_CS2",1
"ERR2851752Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C16","cMor_CS2",1
"ERR2851753Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C17","cMor_CS2",1
"ERR2851754Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C18","cMor_CS2",1
"ERR2851755Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C19","cMor_CS2",1
"ERR2851756Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C20","cMor_CS2",1
"ERR2851757Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C22","cMor_CS2",1
"ERR2851758Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C23","cMor_CS2",1
"ERR2851759Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C24","cMor_CS2",1
"ERR2851760Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C1","cMor_CS2",1
"ERR2851761Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C2","cMor_CS2",1
"ERR2851762Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C3","cMor_CS2",1
"ERR2851763Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C4","cMor_CS2",1
"ERR2851764Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C5","cMor_CS2",1
"ERR2851765Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C6","cMor_CS2",1
"ERR2851766Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C7","cMor_CS2",1
"ERR2851767Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C8","cMor_CS2",1
"ERR2851768Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C9","cMor_CS2",1
"ERR2851769Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C10","cMor_CS2",1
"ERR2851770Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C1","cMor_CS2",1
"ERR2851771Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C2","cMor_CS2",1
"ERR2851772Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C3","cMor_CS2",1
"ERR2851773Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C4","cMor_CS2",1
"ERR2851774Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C5","cMor_CS2",1
"ERR2851775Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C6","cMor_CS2",1
"ERR2851776Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C7","cMor_CS2",1
"ERR2851777Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C8","cMor_CS2",1
"ERR2851778Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C9","cMor_CS2",1
"ERR2851779Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C10","cMor_CS2",1
"ERR2851780Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C11","cMor_CS2",1
"ERR2851781Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C12","cMor_CS2",1
"ERR2851782Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C13","cMor_CS2",1
"ERR2851783Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C14","cMor_CS2",1
"ERR2851784Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C15","cMor_CS2",1
"ERR2851785Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C16","cMor_CS2",1
"ERR2851786Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C17","cMor_CS2",1
"ERR2851787Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C18","cMor_CS2",1
"ERR2851788Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C19","cMor_CS2",1
"ERR2851789Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C20","cMor_CS2",1
"ERR2851790Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C21","cMor_CS2",1
"ERR2851791Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C1","ICM_CS3",1
"ERR2851792Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C5","ICM_CS3",1
"ERR2851793Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C6","ICM_CS3",1
"ERR2851794Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C7","ICM_CS3",1
"ERR2851795Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C8","ICM_CS3",1
"ERR2851796Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C9","ICM_CS3",1
"ERR2851797Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C10","ICM_CS3",1
"ERR2851798Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C11","ICM_CS3",1
"ERR2851799Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C12","ICM_CS3",1
"ERR2851800Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C1","ICM_CS3",1
"ERR2851801Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C2","ICM_CS3",1
"ERR2851802Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C3","ICM_CS3",1
"ERR2851803Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C4","ICM_CS3",1
"ERR2851804Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C5","ICM_CS3",1
"ERR2851805Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C6","ICM_CS3",1
"ERR2851806Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C7","ICM_CS3",1
"ERR2851807Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C8","ICM_CS3",1
"ERR2851808Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C10","ICM_CS3",1
"ERR2851809Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C11","ICM_CS3",1
"ERR2851810Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C3","ICM_CS3",1
"ERR2851811Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C4","ICM_CS3",1
"ERR2851812Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C5","ICM_CS3",1
"ERR2851813Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C6","ICM_CS3",1
"ERR2851814Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C7","ICM_CS3",1
"ERR2851815Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C8","ICM_CS3",1
"ERR2851816Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C9","ICM_CS3",1
"ERR2851817Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C10","ICM_CS3",1
"ERR2851818Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C11","ICM_CS3",1
"ERR2851819Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C12","ICM_CS3",1
"ERR2851820Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C13","ICM_CS3",1
"ERR2851821Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C14","ICM_CS3",1
"ERR2851822Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C15","ICM_CS3",1
"ERR2851823Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C16","ICM_CS3",1
"ERR2851824Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C17","ICM_CS3",1
"ERR2851825Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C18","ICM_CS3",1
"ERR2851826Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C19","ICM_CS3",1
"ERR2851827Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C20","ICM_CS3",1
"ERR2851828Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C21","ICM_CS3",1
"ERR2851829Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C22","ICM_CS3",1
"ERR2851830Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C23","ICM_CS3",1
"ERR2851831Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C24","ICM_CS3",1
"ERR2851832Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C25","ICM_CS3",1
"ERR2851833Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C1","Hyp_CS3",1
"ERR2851834Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C2","Epi_CS3",1
"ERR2851836Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C4","Hyp_CS3",1
"ERR2851837Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C6","Hyp_CS3",1
"ERR2851838Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C7","Hyp_CS3",1
"ERR2851839Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C8","Hyp_CS3",1
"ERR2851840Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C9","Hyp_CS3",1
"ERR2851841Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C10","Hyp_CS3",1
"ERR2851842Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C11","Hyp_CS3",1
"ERR2851843Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C12","Epi_CS3",1
"ERR2851844Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C13","Hyp_CS3",1
"ERR2851845Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C14","Hyp_CS3",1
"ERR2851846Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C15","Hyp_CS3",1
"ERR2851847Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C16","Epi_CS3",1
"ERR2851848Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C17","Hyp_CS3",1
"ERR2851849Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C18","Epi_CS3",1
