"","Loc","Type","z"
"CME25A7795904Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795905Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795912Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795913Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795921Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795928Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795929Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795936Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795937Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795945Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795952Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795953Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795960Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795961Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795968Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795969Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795976Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795977Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795984Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795985Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795992Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"CME25A7795993Aligned.sortedByCoord.out.bam","Invitro","Conventional1",1
"SLX.10821.N701_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N701_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N701_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N701_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N702_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N702_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N702_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N702_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N703_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N703_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N703_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N703_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N704_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N704_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N704_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N704_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N705_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N705_N503.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N705_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N705_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N706_N502.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N706_N504.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"SLX.10821.N706_N517.C854JANXX.s_7.rAligned.sortedByCoord.out.bam","Invitro","Conventional2",1
"X3536STDY8289387Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289388Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289395Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289396Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289403Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289427Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289428Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289435Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289436Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
"X3536STDY8289443Aligned.sortedByCoord.out.bam","Invitro","PLAXA1",1
